date,fuel_price_usd,tension_index,weather_risk,congestion_index,demand_index
2026-03-30,102.2,31.3,6.0,5.7,55.4
2026-03-31,102.2,30.0,7.1,4.2,54.8
2026-04-01,102.2,28.2,5.5,5.6,54.7
2026-04-02,102.2,29.6,6.1,6.5,57.1
2026-04-03,102.2,29.6,6.4,3.4,58.7
2026-04-04,102.2,31.4,5.4,4.9,59.9
2026-04-05,102.2,32.8,6.0,6.1,61.3
2026-04-06,102.2,33.1,5.8,5.5,63.0
2026-04-07,102.2,31.8,6.0,6.1,63.5
2026-04-08,102.2,29.2,5.1,5.4,63.8
2026-04-09,102.2,28.7,5.9,6.0,65.0
2026-04-10,102.2,30.8,6.4,5.9,64.8
2026-04-11,102.2,31.6,7.4,7.1,66.2
2026-04-12,102.2,29.5,6.9,6.4,64.9
2026-04-13,102.2,30.3,8.1,6.6,66.8
2026-04-14,102.2,31.5,5.2,6.1,67.9
2026-04-15,102.2,30.1,6.9,6.1,68.6
2026-04-16,102.2,30.8,6.2,6.2,70.0
2026-04-17,102.2,31.3,8.2,7.0,72.2
2026-04-18,102.2,29.4,5.2,6.4,73.4
2026-04-19,102.2,30.6,5.1,7.0,71.1
2026-04-20,102.2,32.1,5.4,8.5,69.4
2026-04-21,102.2,34.6,3.8,7.6,68.3
2026-04-22,102.2,37.1,5.4,6.7,67.9
2026-04-23,102.2,34.8,5.2,8.0,67.9
2026-04-24,102.2,33.3,6.0,6.8,66.3
2026-04-25,102.2,34.7,6.2,5.5,65.7
2026-04-26,102.2,36.1,7.7,6.4,63.9
2026-04-27,102.2,37.5,6.8,5.8,62.2
2026-04-28,102.2,45.6,5.2,7.0,59.4
2026-04-29,102.2,47.1,4.8,7.3,57.1
2026-04-30,102.2,49.7,6.2,8.7,54.2
2026-05-01,102.2,52.0,4.3,7.7,51.7
2026-05-02,102.2,53.6,7.4,7.2,51.6
2026-05-03,102.2,53.3,6.7,8.1,49.1
2026-05-04,102.2,55.2,5.0,5.7,50.8
2026-05-05,102.2,54.0,3.7,7.7,49.9
2026-05-06,102.2,53.9,6.7,8.1,48.6
2026-05-07,102.2,53.3,5.2,6.3,46.0
2026-05-08,102.2,53.8,6.5,8.4,45.4
2026-05-09,102.2,58.7,3.6,7.8,43.2
2026-05-10,102.2,55.3,4.5,7.2,41.9
2026-05-11,102.2,57.0,5.0,8.0,43.5
2026-05-12,102.2,54.1,5.0,9.3,42.0
2026-05-13,102.2,53.5,4.4,7.6,42.1
2026-05-14,102.2,55.9,5.4,7.6,40.0
2026-05-15,102.2,56.4,3.6,7.0,38.8
2026-05-16,102.2,54.5,4.5,6.7,39.8
2026-05-17,102.2,53.4,4.7,8.0,38.0
2026-05-18,102.2,55.0,5.0,6.6,39.3
2026-05-19,102.2,53.8,5.1,7.3,39.3
2026-05-20,102.2,54.6,3.2,6.8,38.0
2026-05-21,102.2,54.9,2.7,7.6,38.2
2026-05-22,108.0,53.9,5.4,7.4,38.9
2026-05-23,112.6,58.4,4.3,7.9,39.3
2026-05-24,112.8,60.0,3.2,6.6,37.1
2026-05-25,118.3,56.2,5.4,6.7,36.2
2026-05-26,101.2,56.8,3.8,6.1,35.9
2026-05-27,109.0,55.7,4.8,6.5,36.0
2026-05-28,109.8,57.6,3.6,7.1,37.0
2026-05-29,109.3,56.3,5.5,7.3,37.6
2026-05-30,94.8,56.3,5.1,5.9,36.6
2026-05-31,95.9,57.5,3.0,7.2,37.7
2026-06-01,95.2,59.4,4.1,7.5,39.1
2026-06-02,99.4,57.2,3.7,6.7,40.7
2026-06-03,94.8,56.8,4.3,7.8,42.9
